candidate,segment,r2,mae
base_prior,global,0.7735858740855043,0.039292004012341585
base_prior,Residential,0.3671650124508975,0.03094443788857158
base_prior,Street,-1.9391987300565856,0.05054123690698605
base_prior,Highway,-0.3032733765359237,0.15348846598289326
scaled_geo,global,0.773450257085489,0.046876925618701965
scaled_geo,Residential,-0.05914109862646244,0.040817311527346335
scaled_geo,Street,-2.187017408815541,0.05243973604880215
scaled_geo,Highway,0.2007849473976836,0.13256461410664655
additive_geo,global,0.8780962502707205,0.033511878472190886
additive_geo,Residential,0.46179482699955454,0.028752652769723944
additive_geo,Street,-1.078054427787217,0.040690445700570205
additive_geo,Highway,0.54594264038949,0.09779891485696203
regime_blend,global,0.8579749243519191,0.03731947921739965
regime_blend,Residential,0.29939061452810034,0.03319333351372198
regime_blend,Street,-0.32734384939368044,0.03206479392673018
regime_blend,Highway,0.5177732728979256,0.10536106192696323
